trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('fail', 'work', 'snapchat', 'even')",5,,
"('work', 'snapchat', 'even', 'official')",5,,
"('snapchat', 'even', 'official', 'application')",5,,
"('may', 'want', 'contact', 'internet')",5,,
"('want', 'contact', 'internet', 'service')",5,,
"('in', 'hey', 'reason', 'account')",5,,
"('select', 'yes', 'submit', 'ticket')",5,,
"('trouble', 'hey', 'reason', 'account')",5,,
"('check', 'this', 'link', 'reason')",5,,
"('this', 'link', 'reason', 'account')",5,,
"('link', 'reason', 'account', 'could')",5,,
"('support', 'ticket', 'team', 'get')",5,,
"('additional', 'support', 'twitter', 'still')",5,,
"('support', 'twitter', 'still', 'having')",5,,
"('this', 'link', 'snapchat', 'memory')",5,,
"('really', 'need', 'fix', 'this')",5,,
"('play', 'around', 'snapchat', 'filter')",5,,
"('check', 'this', 'link', 'tried')",5,,
"('twitter', 'bad', 'know', 'not')",5,,
