trigrams_tweets,frequency,quadgrams_reviews,frequency_reviews
,,"('new', 'version', 'not')",3
,,"('bad', 'road', 'condition')",3
,,"('every', 'time', 'gps')",3
,,"('well', 'this', 'application')",3
,,"('direction', 'application', 'work')",3
,,"('application', 'gole', 'map')",3
,,"('showing', 'searching', 'gps')",3
,,"('this', 'application', 'recent')",3
,,"('application', 'recent', 'update')",3
,,"('location', 'destination', 'airport')",3
,,"('gps', 'signal', 'this')",3
,,"('internet', 'stopped', 'check')",3
,,"('stopped', 'check', 'connection')",3
,,"('original', 'factory', 'version')",3
,,"('gole', 'fix', 'this')",3
,,"('doe', 'not', 'open')",3
,,"('updated', 'this', 'application')",3
,,"('map', 'stopped', 'working')",3
,,"('last', 'update', 'bad')",3
,,"('problem', 'gole', 'map')",3
,,"('not', 'know', 'not')",3
,,"('first', 'galaxy', 'phone')",3
,,"('this', 'application', 'start')",3
,,"('update', 'every', 'time')",3
,,"('this', 'issue', 'this')",3
