trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('video', 'voice', 'call')",5
,,"('not', 'waste', 'time')",5
,,"('not', 'showing', 'status')",5
,,"('send', 'receive', 'text')",5
,,"('voice', 'video', 'calling')",5
,,"('this', 'problem', 'whatsit')",5
,,"('status', 'video', 'playing')",5
,,"('new', 'update', 'bad')",5
,,"('not', 'working', 'new')",5
,,"('bad', 'video', 'call')",5
,,"('update', 'not', 'use')",5
,,"('gole', 'play', 'store')",5
,,"('doe', 'not', 'load')",5
,,"('version', 'whats', 'application')",5
,,"('last', 'update', 'application')",5
,,"('application', 'not', 'work')",5
,,"('working', 'whatsit', 'not')",5
,,"('status', 'not', 'send')",5
,,"('get', 'message', 'not')",5
,,"('whatsit', 'status', 'video')",5
,,"('unable', 'send', 'message')",5
,,"('not', 'download', 'picture')",5
,,"('chat', 'doe', 'not')",5
,,"('while', 'watching', 'status')",5
,,"('fix', 'this', 'please')",5
,,"('message', 'not', 'delivered')",5
,,"('watson', 'not', 'working')",5
,,"('soon', 'possible', 'message')",5
,,"('photo', 'video', 'not')",5
,,"('soon', 'possible', 'whatsit')",5
,,"('this', 'problem', 'please')",5
,,"('account', 'not', 'working')",5
,,"('send', 'message', 'message')",5
,,"('message', 'message', 'not')",5
,,"('not', 'use', 'application')",5
,,"('not', 'sent', 'message')",5
,,"('not', 'work', 'in')",5
,,"('not', 'update', 'status')",5
,,"('status', 'status', 'not')",5
,,"('problem', 'new', 'update')",5
,,"('message', 'in', 'notification')",5
,,"('application', 'video', 'call')",5
,,"('whatsit', 'keep', 'crashing')",5
,,"('feature', 'not', 'working')",5
,,"('please', 'help', 'please')",5
,,"('message', 'not', 'able')",5
,,"('application', 'notification', 'not')",5
,,"('wrong', 'this', 'application')",5
,,"('whatsit', 'not', 'responding')",5
,,"('application', 'new', 'update')",5
,,"('please', 'try', 'fix')",5
,,"('contact', 'please', 'fix')",5
,,"('not', 'know', 'happened')",5
,,"('this', 'application', 'work')",5
,,"('whatsit', 'application', 'not')",5
,,"('not', 'able', 'view')",5
,,"('in', 'whats', 'application')",5
,,"('quality', 'video', 'call')",5
,,"('using', 'without', 'issue')",5
,,"('call', 'not', 'working')",5
,,"('in', 'latest', 'update')",5
,,"('version', 'doe', 'not')",5
,,"('profile', 'photo', 'contact')",5
,,"('phone', 'number', 'not')",5
,,"('send', 'message', 'doe')",5
,,"('receive', 'message', 'even')",5
,,"('favourite', 'messaging', 'application')",5
