quadgrams_tweets,frequency,quadgrams_reviews,frequency_reviews
"('doe', 'not', 'work', 'properly')",3,,
"('not', 'open', 'whats', 'application')",3,,
"('not', 'send', 'image', 'video')",3,,
"('update', 'not', 'working', 'properly')",3,,
"('time', 'this', 'application', 'not')",3,,
"('call', 'not', 'good', 'not')",3,,
"('screen', 'doe', 'not', 'wake')",3,,
"('fix', 'bug', 'soon', 'possible')",3,,
"('profile', 'picture', 'not', 'send')",3,,
"('update', 'unable', 'send', 'medium')",3,,
"('whatsit', 'not', 'able', 'see')",3,,
"('delete', 'horrible', 'security', 'feature')",3,,
"('please', 'fix', 'this', 'thanks')",3,,
"('doe', 'not', 'show', 'message')",3,,
"('solve', 'this', 'problem', 'fast')",3,,
"('voice', 'video', 'call', 'not')",3,,
"('bad', 'service', 'try', 'contact')",3,,
"('service', 'try', 'contact', 'whatsit')",3,,
"('try', 'contact', 'whatsit', 'reply')",3,,
"('contact', 'whatsit', 'reply', 'whatsit')",3,,
"('whatsit', 'reply', 'whatsit', 'banned')",3,,
"('reply', 'whatsit', 'banned', 'this')",3,,
"('whatsit', 'banned', 'this', 'sad')",3,,
"('banned', 'this', 'sad', 'help')",3,,
"('this', 'sad', 'help', 'bad')",3,,
"('sad', 'help', 'bad', 'service')",3,,
"('help', 'bad', 'service', 'provided')",3,,
"('bad', 'service', 'provided', 'whatsit')",3,,
"('service', 'provided', 'whatsit', 'give')",3,,
"('provided', 'whatsit', 'give', 'zero')",3,,
"('whatsit', 'give', 'zero', 'star')",3,,
"('give', 'zero', 'star', 'whatsit')",3,,
"('picture', 'not', 'send', 'photo')",3,,
"('please', 'resolve', 'this', 'problem')",3,,
"('update', 'doe', 'not', 'work')",3,,
"('not', 'send', 'voice', 'note')",3,,
"('last', 'update', 'unable', 'send')",3,,
"('update', 'unable', 'send', 'image')",3,,
"('fix', 'problem', 'not', 'send')",3,,
"('please', 'fix', 'not', 'send')",3,,
"('whatsit', 'doe', 'not', 'show')",3,,
"('saying', 'file', 'picked', 'not')",3,,
"('voice', 'call', 'not', 'clear')",3,,
"('not', 'see', 'others', 'status')",3,,
"('please', 'help', 'fix', 'this')",3,,
"('update', 'not', 'able', 'see')",3,,
"('not', 'able', 'see', 'friend')",3,,
"('fix', 'this', 'new', 'update')",3,,
"('application', 'found', 'whatsit', 'started')",3,,
"('found', 'whatsit', 'started', 'installing')",3,,
"('whatsit', 'started', 'installing', 'ad')",3,,
"('started', 'installing', 'ad', 'appeared')",3,,
"('installing', 'ad', 'appeared', 'arrive')",3,,
"('ad', 'appeared', 'arrive', 'in')",3,,
"('appeared', 'arrive', 'in', 'screen')",3,,
"('arrive', 'in', 'screen', 'display')",3,,
"('this', 'new', 'update', 'not')",3,,
"('receive', 'message', 'unles', 'open')",3,,
"('message', 'unles', 'open', 'application')",3,,
"('please', 'fix', 'message', 'not')",3,,
"('status', 'update', 'not', 'see')",3,,
"('not', 'use', 'this', 'application')",3,,
"('improve', 'video', 'call', 'quality')",3,,
"('solve', 'this', 'problem', 'immediately')",3,,
"('file', 'doe', 'not', 'exist')",3,,
"('not', 'able', 'see', 'profile')",3,,
"('friend', 'satish', 'kumar', 'facing')",3,,
"('satish', 'kumar', 'facing', 'problem')",3,,
"('try', 'later', 'please', 'fix')",3,,
"('later', 'please', 'fix', 'this')",3,,
"('file', 'picked', 'not', 'photo')",3,,
"('call', 'not', 'clear', 'not')",3,,
"('status', 'not', 'downloaded', 'in')",3,,
"('not', 'download', 'picture', 'video')",3,,
"('call', 'video', 'call', 'not')",3,,
"('call', 'doe', 'not', 'work')",3,,
"('bug', 'in', 'new', 'update')",3,,
"('several', 'people', 'using', 'whatsit')",3,,
"('message', 'until', 'open', 'application')",3,,
"('doe', 'not', 'appear', 'in')",3,,
"('send', 'application', 'installed', 'in')",3,,
"('application', 'installed', 'in', 'phone')",3,,
"('please', 'fix', 'this', 'in')",3,,
"('not', 'see', 'video', 'status')",3,,
"('different', 'phone', 'please', 'fix')",3,,
"('play', 'video', 'in', 'couture')",3,,
"('not', 'able', 'see', 'whatsit')",3,,
"('best', 'application', 'butt', 'time')",3,,
"('even', 'go', 'online', 'also')",3,,
"('go', 'online', 'also', 'application')",3,,
"('online', 'also', 'application', 'showing')",3,,
"('also', 'application', 'showing', 'online')",3,,
"('application', 'showing', 'online', 'friend')",3,,
