trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('update', 'made', 'snapshot')",11
,,"('please', 'fix', 'issue')",11
,,"('save', 'individual', 'snap')",11
,,"('new', 'update', 'also')",11
,,"('used', 'love', 'this')",11
,,"('snap', 'not', 'send')",11
,,"('new', 'phone', 'not')",11
,,"('this', 'application', 'suck')",11
,,"('new', 'update', 'unable')",11
,,"('new', 'android', 'update')",11
,,"('annoying', 'please', 'fix')",11
,,"('doe', 'not', 'give')",11
,,"('eye', 'anymore', 'not')",11
,,"('update', 'suck', 'new')",11
,,"('new', 'update', 'worst')",11
,,"('new', 'update', 'want')",11
,,"('camera', 'roll', 'please')",11
,,"('new', 'update', 'take')",11
,,"('camera', 'roll', 'in')",11
,,"('update', 'terrible', 'not')",11
,,"('zoomed', 'in', 'way')",11
,,"('change', 'new', 'update')",11
,,"('select', 'multiple', 'photo')",11
,,"('not', 'work', 'anymore')",11
,,"('new', 'update', 'came')",11
,,"('not', 'working', 'not')",11
,,"('new', 'update', 'messed')",11
,,"('not', 'know', 'this')",11
,,"('update', 'not', 'view')",11
,,"('new', 'update', 'stupid')",11
,,"('not', 'allow', 'save')",11
,,"('not', 'even', 'use')",11
,,"('work', 'new', 'update')",11
,,"('keep', 'getting', 'worse')",11
,,"('see', 'friend', 'private')",11
,,"('since', 'update', 'snapshot')",10
,,"('snapshot', 'please', 'fix')",10
,,"('ever', 'since', 'last')",10
,,"('every', 'time', 'open')",10
,,"('not', 'save', 'entire')",10
,,"('zoomed', 'in', 'galaxy')",10
,,"('update', 'not', 'letting')",10
,,"('doe', 'not', 'send')",10
,,"('snap', 'not', 'open')",10
,,"('really', 'not', 'like')",10
,,"('star', 'new', 'update')",10
,,"('this', 'need', 'fixed')",10
,,"('camera', 'roll', 'photo')",10
,,"('update', 'doe', 'let')",10
,,"('not', 'view', 'snap')",10
,,"('chat', 'not', 'send')",10
,,"('not', 'save', 'image')",10
,,"('put', 'picture', 'camera')",10
,,"('new', 'update', 'still')",10
,,"('in', 'group', 'chat')",10
,,"('anymore', 'please', 'fix')",10
,,"('this', 'please', 'fix')",10
,,"('since', 'update', 'application')",10
,,"('facing', 'camera', 'zoomed')",10
,,"('problem', 'please', 'fix')",10
,,"('update', 'this', 'update')",10
,,"('not', 'even', 'get')",10
,,"('not', 'let', 'unload')",10
,,"('save', 'story', 'memory')",10
,,"('new', 'update', 'glitch')",10
,,"('not', 'able', 'open')",10
,,"('in', 'this', 'new')",10
,,"('photo', 'in', 'eye')",10
,,"('not', 'get', 'rid')",10
,,"('not', 'work', 'well')",9
,,"('please', 'fix', 'update')",9
,,"('not', 'good', 'not')",9
,,"('not', 'work', 'not')",9
,,"('fine', 'new', 'update')",9
,,"('view', 'private', 'story')",9
,,"('new', 'update', 'annoying')",9
,,"('new', 'update', 'snap')",9
,,"('also', 'not', 'see')",9
,,"('update', 'suck', 'like')",9
,,"('picture', 'in', 'chat')",9
,,"('way', 'fix', 'this')",9
,,"('not', 'even', 'let')",9
,,"('message', 'new', 'update')",9
,,"('application', 'not', 'working')",9
,,"('not', 'let', 'see')",9
,,"('not', 'see', 'message')",9
,,"('camera', 'super', 'zoomed')",9
,,"('not', 'open', 'snap')",9
,,"('not', 'let', 'put')",9
,,"('image', 'camera', 'roll')",9
,,"('save', 'pic', 'camera')",9
,,"('back', 'new', 'update')",9
,,"('new', 'update', 'used')",9
,,"('not', 'even', 'take')",9
,,"('load', 'please', 'fix')",9
,,"('let', 'log', 'in')",9
,,"('camera', 'doe', 'not')",9
,,"('not', 'send', 'not')",9
,,"('camera', 'roll', 'memory')",9
,,"('update', 'not', 'working')",9
,,"('this', 'application', 'however')",9
,,"('memory', 'new', 'update')",9
,,"('android', 'phone', 'not')",9
,,"('not', 'save', 'camera')",9
,,"('because', 'this', 'application')",9
,,"('this', 'update', 'worst')",9
,,"('save', 'story', 'not')",9
,,"('also', 'not', 'save')",9
,,"('new', 'update', 'since')",9
,,"('not', 'like', 'not')",9
,,"('galaxy', 'front', 'facing')",9
,,"('not', 'able', 'add')",9
,,"('recent', 'update', 'made')",9
,,"('update', 'every', 'time')",9
,,"('update', 'latest', 'update')",9
,,"('private', 'story', 'please')",9
,,"('not', 'send', 'anything')",9
