trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
"('take', 'this', 'long')",5.0,"('faceon', 'market', 'place')",10
"('this', 'problem', 'soon')",5.0,"('turn', 'location', 'service')",10
"('fix', 'facebok', 'instagram')",5.0,"('able', 'log', 'in')",9
"('working', 'fix', 'this')",5.0,"('not', 'unload', 'pic')",9
"('better', 'fix', 'this')",5.0,"('want', 'this', 'application')",9
"('problem', 'resolved', 'soon')",5.0,"('update', 'faceon', 'not')",9
"('please', 'fix', 'fast')",5.0,"('wrong', 'this', 'application')",9
"('saying', 'error', 'code')",5.0,"('getting', 'error', 'message')",9
"('not', 'comment', 'anything')",5.0,"('not', 'like', 'not')",9
,,"('not', 'anything', 'faceon')",9
,,"('notification', 'not', 'go')",9
,,"('worse', 'every', 'update')",9
,,"('in', 'faceon', 'not')",9
,,"('in', 'market', 'place')",9
,,"('bad', 'application', 'not')",9
,,"('page', 'not', 'load')",9
,,"('not', 'see', 'picture')",9
,,"('back', 'in', 'faceon')",9
,,"('this', 'morning', 'not')",9
,,"('since', 'latest', 'update')",9
,,"('not', 'even', 'use')",9
,,"('comment', 'please', 'fix')",9
,,"('application', 'not', 'work')",9
,,"('like', 'share', 'post')",9
,,"('let', 'post', 'comment')",9
,,"('every', 'time', 'update')",9
,,"('faceon', 'application', 'faceon')",9
,,"('thing', 'day', 'ago')",9
,,"('post', 'like', 'comment')",9
,,"('faceon', 'application', 'update')",9
,,"('this', 'application', 'always')",9
,,"('log', 'in', 'code')",9
,,"('fix', 'new', 'update')",9
,,"('not', 'sign', 'in')",9
,,"('this', 'application', 'need')",9
,,"('not', 'like', 'this')",9
,,"('because', 'this', 'application')",9
,,"('keep', 'crashing', 'not')",9
,,"('marketplace', 'not', 'working')",9
,,"('feed', 'doe', 'not')",9
,,"('keep', 'showing', 'notification')",9
,,"('take', 'much', 'space')",9
,,"('faceon', 'account', 'not')",9
,,"('not', 'open', 'not')",9
,,"('not', 'get', 'rid')",8
,,"('not', 'working', 'well')",8
,,"('in', 'faceon', 'account')",8
,,"('not', 'comment', 'anything')",8
,,"('this', 'please', 'fix')",8
,,"('not', 'login', 'account')",8
,,"('post', 'comment', 'anything')",8
,,"('already', 'seen', 'notification')",8
,,"('log', 'in', 'say')",8
,,"('not', 'open', 'account')",8
,,"('this', 'need', 'fixed')",8
,,"('day', 'ago', 'not')",8
,,"('place', 'not', 'working')",8
,,"('not', 'let', 'login')",8
,,"('application', 'not', 'post')",8
,,"('having', 'issue', 'faceon')",8
,,"('back', 'into', 'account')",8
,,"('not', 'work', 'well')",8
,,"('faceon', 'required', 'maintenance')",8
,,"('not', 'able', 'login')",8
,,"('solve', 'this', 'problem')",8
,,"('getting', 'worse', 'worse')",8
,,"('faceon', 'please', 'help')",8
,,"('not', 'share', 'post')",8
,,"('since', 'recent', 'update')",8
