trigrams_tweets,frequency,trigrams_reviews,frequency_reviews
,,"('see', 'post', 'in')",6
,,"('show', 'post', 'day')",6
,,"('update', 'latest', 'update')",6
,,"('application', 'did', 'not')",6
,,"('new', 'update', 'doe')",6
,,"('still', 'doe', 'not')",6
,,"('soon', 'possible', 'not')",6
,,"('not', 'see', 'notification')",6
,,"('comment', 'not', 'show')",6
,,"('updated', 'this', 'application')",6
,,"('add', 'photo', 'album')",6
,,"('not', 'like', 'this')",6
,,"('latest', 'version', 'application')",6
,,"('every', 'time', 'go')",6
,,"('change', 'cover', 'photo')",6
,,"('this', 'application', 'always')",6
,,"('application', 'keep', 'getting')",6
,,"('hate', 'new', 'update')",6
,,"('faceon', 'stopped', 'working')",6
,,"('not', 'load', 'not')",6
,,"('downloading', 'this', 'application')",6
,,"('every', 'time', 'try')",6
,,"('fix', 'this', 'please')",6
,,"('not', 'let', 'see')",6
,,"('last', 'update', 'please')",6
,,"('keep', 'crashing', 'last')",6
,,"('update', 'faceon', 'not')",6
,,"('in', 'faceon', 'application')",6
,,"('not', 'view', 'photo')",6
,,"('faceon', 'application', 'faceon')",6
,,"('keep', 'crashing', 'since')",6
,,"('not', 'even', 'use')",6
,,"('please', 'bring', 'back')",6
,,"('new', 'update', 'crash')",6
,,"('fix', 'this', 'bug')",6
,,"('every', 'single', 'photo')",6
,,"('nothing', 'wrong', 'internet')",6
,,"('wrong', 'internet', 'connection')",6
,,"('go', 'back', 'top')",5
,,"('time', 'this', 'application')",5
,,"('stay', 'in', 'touch')",5
,,"('not', 'work', 'please')",5
,,"('not', 'working', 'please')",5
,,"('working', 'please', 'fix')",5
,,"('not', 'work', 'keep')",5
,,"('faceon', 'not', 'even')",5
,,"('log', 'into', 'account')",5
,,"('application', 'keep', 'force')",5
,,"('get', 'worse', 'worse')",5
,,"('every', 'update', 'this')",5
,,"('feed', 'not', 'load')",5
,,"('not', 'get', 'faceon')",5
,,"('this', 'application', 'show')",5
,,"('see', 'recent', 'post')",5
,,"('faceon', 'application', 'android')",5
,,"('many', 'thing', 'not')",5
,,"('let', 'log', 'in')",5
,,"('application', 'application', 'not')",5
,,"('not', 'even', 'go')",5
,,"('this', 'application', 'trash')",5
,,"('updated', 'faceon', 'application')",5
